Project,Client,Description,Duration,Billable duration
Career Portfolio,,,02:09:13,00:00:00
Career Profile,,,03:45:15,00:00:00
Career Profile,Coursera,,00:03:01,00:00:00
Career Profile,Credly,,00:04:40,00:00:00
Career Profile,Dice,,00:15:02,00:00:00
Career Profile,Exercism,,00:04:47,00:00:00
Career Profile,Functional Works,,00:09:08,00:00:00
Career Profile,GitHub,,00:12:08,00:00:00
Career Profile,Glassdoor,,00:09:58,00:00:00
Career Profile,I Crunch Data,,00:20:28,00:00:00
Career Profile,Indeed,,00:56:11,00:00:00
Career Profile,LinkedIn,,00:44:40,00:00:00
Career Profile,Monster,,00:40:59,00:00:00
Career Profile,SIAM,,00:08:33,00:00:00
Career Profile,SOA,,00:04:34,00:00:00
Career Profile,Zip Recruiter,,00:24:36,00:00:00
Church,,,13:33:43,00:00:00
Coursera,,,10:08:26,00:00:00
Exercise,,,17:44:03,00:00:00
Health,,,03:00:00,00:00:00
Job Apply,,,06:51:48,00:00:00
Job Apply,LinkedIn,,00:32:00,00:00:00
School Apply,,,02:20:09,00:00:00
School Apply,Montana State University,,05:10:56,00:00:00
Volunteer,,,07:05:25,00:00:00
