Project,Client,Description,Duration,Billable duration,Amount USD
Career Portfolio,,,03:35:19,00:00:00,0
Career Profile,,,02:55:21,00:00:00,0
Career Profile,Coursera,,00:01:12,00:00:00,0
Career Profile,Credly,,00:01:45,00:00:00,0
Career Profile,Dice,,00:02:12,00:00:00,0
Career Profile,Exercism,,00:00:23,00:00:00,0
Career Profile,Functional Works,,00:02:31,00:00:00,0
Career Profile,GitHub,,00:02:42,00:00:00,0
Career Profile,Glassdoor,,00:08:16,00:00:00,0
Career Profile,Indeed,,00:13:18,00:00:00,0
Career Profile,LinkedIn,,00:11:12,00:00:00,0
Career Profile,Monster,,00:14:46,00:00:00,0
Career Profile,Volunteer Match,,00:01:20,00:00:00,0
Career Profile,Zip Recruiter,,00:06:59,00:00:00,0
Church,,,11:12:07,00:00:00,0
Exercise,,,13:23:49,00:00:00,0
Health,,,02:00:00,00:00:00,0
Job Apply,,,00:41:33,00:00:00,0
School Apply,,,00:53:01,00:00:00,0
School Apply,Montana State University,,13:07:59,00:00:00,0
Volunteer,Love INC,,07:55:42,00:00:00,0
Work,Tutor.com,,26:57:41,26:57:41,269.61
