Project,Client,Task,Duration,Billable duration
Church,,Bible Study,05:31:57,00:00:00
Church,,Worship Service,06:17:52,00:00:00
Exercise,,Gym,15:43:21,00:00:00
Work,Montana State University,Database Systems,29:00:11,00:00:00
Work,Montana State University,Machine Learning: Soft Computing,63:56:03,00:00:00
Work,Montana State University,Meeting,00:52:55,00:00:00
Work,Montana State University,Methods of Data Analysis I,28:03:28,00:00:00
Work,Montana State University,Numerical Linear Algebra,21:57:51,00:00:00
