,Month,Project,Client,Duration,Billable duration,Amount USD
0,01,,,0.0,0.0,0
1,01,,Coursera,0.0,0.0,0
2,01,,Credly,0.0,0.0,0
3,01,,Dice,0.0,0.0,0
4,01,,Exercism,0.0,0.0,0
5,01,,Functional Works,0.0,0.0,0
6,01,,GitHub,0.0,0.0,0
7,01,,Glassdoor,0.0,0.0,0
8,01,,Handshake,0.0,0.0,0
9,01,,I Crunch Data,0.0,0.0,0
10,01,,Indeed,0.0,0.0,0
11,01,,LinkedIn,0.0,0.0,0
12,01,,Love INC,0.0,0.0,0
13,01,,Monster,0.0,0.0,0
14,01,,Montana State University,0.0,0.0,0
15,01,,SIAM,0.0,0.0,0
16,01,,SOA,0.0,0.0,0
17,01,,Tutor.com,0.0,0.0,0
18,01,,Volunteer Match,0.0,0.0,0
19,01,,Zip Recruiter,0.0,0.0,0
20,01,Career Portfolio,,7.264166666666667,0.0,
21,01,Career Portfolio,Coursera,0.0,0.0,0
22,01,Career Portfolio,Credly,0.0,0.0,0
23,01,Career Portfolio,Dice,0.0,0.0,0
24,01,Career Portfolio,Exercism,0.0,0.0,0
25,01,Career Portfolio,Functional Works,0.0,0.0,0
26,01,Career Portfolio,GitHub,0.0,0.0,0
27,01,Career Portfolio,Glassdoor,0.0,0.0,0
28,01,Career Portfolio,Handshake,0.0,0.0,0
29,01,Career Portfolio,I Crunch Data,0.0,0.0,0
30,01,Career Portfolio,Indeed,0.0,0.0,0
31,01,Career Portfolio,LinkedIn,0.0,0.0,0
32,01,Career Portfolio,Love INC,0.0,0.0,0
33,01,Career Portfolio,Monster,0.0,0.0,0
34,01,Career Portfolio,Montana State University,0.0,0.0,0
35,01,Career Portfolio,SIAM,0.0,0.0,0
36,01,Career Portfolio,SOA,0.0,0.0,0
37,01,Career Portfolio,Tutor.com,0.0,0.0,0
38,01,Career Portfolio,Volunteer Match,0.0,0.0,0
39,01,Career Portfolio,Zip Recruiter,0.0,0.0,0
40,01,Career Profile,,1.4316666666666666,0.0,
41,01,Career Profile,Coursera,0.26166666666666666,0.0,
42,01,Career Profile,Credly,0.14333333333333334,0.0,
43,01,Career Profile,Dice,0.9244444444444444,0.0,
44,01,Career Profile,Exercism,0.15583333333333332,0.0,
45,01,Career Profile,Functional Works,0.4141666666666667,0.0,
46,01,Career Profile,GitHub,0.2816666666666667,0.0,
47,01,Career Profile,Glassdoor,0.9508333333333333,0.0,
48,01,Career Profile,Handshake,0.0,0.0,0
49,01,Career Profile,I Crunch Data,0.8544444444444445,0.0,
50,01,Career Profile,Indeed,0.31472222222222224,0.0,
51,01,Career Profile,LinkedIn,0.6516666666666667,0.0,
52,01,Career Profile,Love INC,0.0,0.0,0
53,01,Career Profile,Monster,0.35416666666666663,0.0,
54,01,Career Profile,Montana State University,0.0,0.0,0
55,01,Career Profile,SIAM,0.14777777777777779,0.0,
56,01,Career Profile,SOA,0.0,0.0,0
57,01,Career Profile,Tutor.com,0.0,0.0,0
58,01,Career Profile,Volunteer Match,0.08666666666666666,0.0,
59,01,Career Profile,Zip Recruiter,0.41194444444444445,0.0,
60,01,Church,,13.729444444444445,0.0,
61,01,Church,Coursera,0.0,0.0,0
62,01,Church,Credly,0.0,0.0,0
63,01,Church,Dice,0.0,0.0,0
64,01,Church,Exercism,0.0,0.0,0
65,01,Church,Functional Works,0.0,0.0,0
66,01,Church,GitHub,0.0,0.0,0
67,01,Church,Glassdoor,0.0,0.0,0
68,01,Church,Handshake,0.0,0.0,0
69,01,Church,I Crunch Data,0.0,0.0,0
70,01,Church,Indeed,0.0,0.0,0
71,01,Church,LinkedIn,0.0,0.0,0
72,01,Church,Love INC,0.0,0.0,0
73,01,Church,Monster,0.0,0.0,0
74,01,Church,Montana State University,0.0,0.0,0
75,01,Church,SIAM,0.0,0.0,0
76,01,Church,SOA,0.0,0.0,0
77,01,Church,Tutor.com,0.0,0.0,0
78,01,Church,Volunteer Match,0.0,0.0,0
79,01,Church,Zip Recruiter,0.0,0.0,0
80,01,Coursera,,10.258055555555556,0.0,
81,01,Coursera,Coursera,0.0,0.0,0
82,01,Coursera,Credly,0.0,0.0,0
83,01,Coursera,Dice,0.0,0.0,0
84,01,Coursera,Exercism,0.0,0.0,0
85,01,Coursera,Functional Works,0.0,0.0,0
86,01,Coursera,GitHub,0.0,0.0,0
87,01,Coursera,Glassdoor,0.0,0.0,0
88,01,Coursera,Handshake,0.0,0.0,0
89,01,Coursera,I Crunch Data,0.0,0.0,0
90,01,Coursera,Indeed,0.0,0.0,0
91,01,Coursera,LinkedIn,0.0,0.0,0
92,01,Coursera,Love INC,0.0,0.0,0
93,01,Coursera,Monster,0.0,0.0,0
94,01,Coursera,Montana State University,0.0,0.0,0
95,01,Coursera,SIAM,0.0,0.0,0
96,01,Coursera,SOA,0.0,0.0,0
97,01,Coursera,Tutor.com,0.0,0.0,0
98,01,Coursera,Volunteer Match,0.0,0.0,0
99,01,Coursera,Zip Recruiter,0.0,0.0,0
100,01,Exercise,,34.18888888888888,0.0,
101,01,Exercise,Coursera,0.0,0.0,0
102,01,Exercise,Credly,0.0,0.0,0
103,01,Exercise,Dice,0.0,0.0,0
104,01,Exercise,Exercism,0.0,0.0,0
105,01,Exercise,Functional Works,0.0,0.0,0
106,01,Exercise,GitHub,0.0,0.0,0
107,01,Exercise,Glassdoor,0.0,0.0,0
108,01,Exercise,Handshake,0.0,0.0,0
109,01,Exercise,I Crunch Data,0.0,0.0,0
110,01,Exercise,Indeed,0.0,0.0,0
111,01,Exercise,LinkedIn,0.0,0.0,0
112,01,Exercise,Love INC,0.0,0.0,0
113,01,Exercise,Monster,0.0,0.0,0
114,01,Exercise,Montana State University,0.0,0.0,0
115,01,Exercise,SIAM,0.0,0.0,0
116,01,Exercise,SOA,0.0,0.0,0
117,01,Exercise,Tutor.com,0.0,0.0,0
118,01,Exercise,Volunteer Match,0.0,0.0,0
119,01,Exercise,Zip Recruiter,0.0,0.0,0
120,01,Health,,6.0,0.0,
121,01,Health,Coursera,0.0,0.0,0
122,01,Health,Credly,0.0,0.0,0
123,01,Health,Dice,0.0,0.0,0
124,01,Health,Exercism,0.0,0.0,0
125,01,Health,Functional Works,0.0,0.0,0
126,01,Health,GitHub,0.0,0.0,0
127,01,Health,Glassdoor,0.0,0.0,0
128,01,Health,Handshake,0.0,0.0,0
129,01,Health,I Crunch Data,0.0,0.0,0
130,01,Health,Indeed,0.0,0.0,0
131,01,Health,LinkedIn,0.0,0.0,0
132,01,Health,Love INC,0.0,0.0,0
133,01,Health,Monster,0.0,0.0,0
134,01,Health,Montana State University,0.0,0.0,0
135,01,Health,SIAM,0.0,0.0,0
136,01,Health,SOA,0.0,0.0,0
137,01,Health,Tutor.com,0.0,0.0,0
138,01,Health,Volunteer Match,0.0,0.0,0
139,01,Health,Zip Recruiter,0.0,0.0,0
140,01,Job Apply,,1.698611111111111,0.0,
141,01,Job Apply,Coursera,0.0,0.0,0
142,01,Job Apply,Credly,0.0,0.0,0
143,01,Job Apply,Dice,0.0,0.0,0
144,01,Job Apply,Exercism,0.0,0.0,0
145,01,Job Apply,Functional Works,0.0,0.0,0
146,01,Job Apply,GitHub,0.0,0.0,0
147,01,Job Apply,Glassdoor,0.0,0.0,0
148,01,Job Apply,Handshake,0.0,0.0,0
149,01,Job Apply,I Crunch Data,0.0,0.0,0
150,01,Job Apply,Indeed,0.0,0.0,0
151,01,Job Apply,LinkedIn,0.0,0.0,0
152,01,Job Apply,Love INC,0.0,0.0,0
153,01,Job Apply,Monster,0.0,0.0,0
154,01,Job Apply,Montana State University,0.0,0.0,0
155,01,Job Apply,SIAM,0.0,0.0,0
156,01,Job Apply,SOA,0.0,0.0,0
157,01,Job Apply,Tutor.com,0.0,0.0,0
158,01,Job Apply,Volunteer Match,0.0,0.0,0
159,01,Job Apply,Zip Recruiter,0.0,0.0,0
160,01,School Apply,,5.436388888888889,0.0,
161,01,School Apply,Coursera,0.0,0.0,0
162,01,School Apply,Credly,0.0,0.0,0
163,01,School Apply,Dice,0.0,0.0,0
164,01,School Apply,Exercism,0.0,0.0,0
165,01,School Apply,Functional Works,0.0,0.0,0
166,01,School Apply,GitHub,0.0,0.0,0
167,01,School Apply,Glassdoor,0.0,0.0,0
168,01,School Apply,Handshake,0.0,0.0,0
169,01,School Apply,I Crunch Data,0.0,0.0,0
170,01,School Apply,Indeed,0.0,0.0,0
171,01,School Apply,LinkedIn,0.0,0.0,0
172,01,School Apply,Love INC,0.0,0.0,0
173,01,School Apply,Monster,0.0,0.0,0
174,01,School Apply,Montana State University,18.691666666666666,0.0,
175,01,School Apply,SIAM,0.0,0.0,0
176,01,School Apply,SOA,0.0,0.0,0
177,01,School Apply,Tutor.com,0.0,0.0,0
178,01,School Apply,Volunteer Match,0.0,0.0,0
179,01,School Apply,Zip Recruiter,0.0,0.0,0
180,01,Volunteer,,8.001666666666667,0.0,
181,01,Volunteer,Coursera,0.0,0.0,0
182,01,Volunteer,Credly,0.0,0.0,0
183,01,Volunteer,Dice,0.0,0.0,0
184,01,Volunteer,Exercism,0.0,0.0,0
185,01,Volunteer,Functional Works,0.0,0.0,0
186,01,Volunteer,GitHub,0.0,0.0,0
187,01,Volunteer,Glassdoor,0.0,0.0,0
188,01,Volunteer,Handshake,0.0,0.0,0
189,01,Volunteer,I Crunch Data,0.0,0.0,0
190,01,Volunteer,Indeed,0.0,0.0,0
191,01,Volunteer,LinkedIn,0.0,0.0,0
192,01,Volunteer,Love INC,0.0,0.0,0
193,01,Volunteer,Monster,0.0,0.0,0
194,01,Volunteer,Montana State University,0.0,0.0,0
195,01,Volunteer,SIAM,0.0,0.0,0
196,01,Volunteer,SOA,0.0,0.0,0
197,01,Volunteer,Tutor.com,0.0,0.0,0
198,01,Volunteer,Volunteer Match,0.0,0.0,0
199,01,Volunteer,Zip Recruiter,0.0,0.0,0
200,01,Work,,0.0,0.0,0
201,01,Work,Coursera,0.0,0.0,0
202,01,Work,Credly,0.0,0.0,0
203,01,Work,Dice,0.0,0.0,0
204,01,Work,Exercism,0.0,0.0,0
205,01,Work,Functional Works,0.0,0.0,0
206,01,Work,GitHub,0.0,0.0,0
207,01,Work,Glassdoor,0.0,0.0,0
208,01,Work,Handshake,0.0,0.0,0
209,01,Work,I Crunch Data,0.0,0.0,0
210,01,Work,Indeed,0.0,0.0,0
211,01,Work,LinkedIn,0.0,0.0,0
212,01,Work,Love INC,0.0,0.0,0
213,01,Work,Monster,0.0,0.0,0
214,01,Work,Montana State University,0.0,0.0,0
215,01,Work,SIAM,0.0,0.0,0
216,01,Work,SOA,0.0,0.0,0
217,01,Work,Tutor.com,0.0,0.0,0
218,01,Work,Volunteer Match,0.0,0.0,0
219,01,Work,Zip Recruiter,0.0,0.0,0
220,02,,,0.0,0.0,0
221,02,,Coursera,0.0,0.0,0
222,02,,Credly,0.0,0.0,0
223,02,,Dice,0.0,0.0,0
224,02,,Exercism,0.0,0.0,0
225,02,,Functional Works,0.0,0.0,0
226,02,,GitHub,0.0,0.0,0
227,02,,Glassdoor,0.0,0.0,0
228,02,,Handshake,0.0,0.0,0
229,02,,I Crunch Data,0.0,0.0,0
230,02,,Indeed,0.0,0.0,0
231,02,,LinkedIn,0.0,0.0,0
232,02,,Love INC,0.0,0.0,0
233,02,,Monster,0.0,0.0,0
234,02,,Montana State University,0.0,0.0,0
235,02,,SIAM,0.0,0.0,0
236,02,,SOA,0.0,0.0,0
237,02,,Tutor.com,0.0,0.0,0
238,02,,Volunteer Match,0.0,0.0,0
239,02,,Zip Recruiter,0.0,0.0,0
240,02,Career Portfolio,,2.153611111111111,0.0,
241,02,Career Portfolio,Coursera,0.0,0.0,0
242,02,Career Portfolio,Credly,0.0,0.0,0
243,02,Career Portfolio,Dice,0.0,0.0,0
244,02,Career Portfolio,Exercism,0.0,0.0,0
245,02,Career Portfolio,Functional Works,0.0,0.0,0
246,02,Career Portfolio,GitHub,0.0,0.0,0
247,02,Career Portfolio,Glassdoor,0.0,0.0,0
248,02,Career Portfolio,Handshake,0.0,0.0,0
249,02,Career Portfolio,I Crunch Data,0.0,0.0,0
250,02,Career Portfolio,Indeed,0.0,0.0,0
251,02,Career Portfolio,LinkedIn,0.0,0.0,0
252,02,Career Portfolio,Love INC,0.0,0.0,0
253,02,Career Portfolio,Monster,0.0,0.0,0
254,02,Career Portfolio,Montana State University,0.0,0.0,0
255,02,Career Portfolio,SIAM,0.0,0.0,0
256,02,Career Portfolio,SOA,0.0,0.0,0
257,02,Career Portfolio,Tutor.com,0.0,0.0,0
258,02,Career Portfolio,Volunteer Match,0.0,0.0,0
259,02,Career Portfolio,Zip Recruiter,0.0,0.0,0
260,02,Career Profile,,3.754166666666667,0.0,
261,02,Career Profile,Coursera,0.05027777777777778,0.0,
262,02,Career Profile,Credly,0.07777777777777778,0.0,
263,02,Career Profile,Dice,0.25055555555555553,0.0,
264,02,Career Profile,Exercism,0.07972222222222222,0.0,
265,02,Career Profile,Functional Works,0.1522222222222222,0.0,
266,02,Career Profile,GitHub,0.20222222222222222,0.0,
267,02,Career Profile,Glassdoor,0.1661111111111111,0.0,
268,02,Career Profile,Handshake,0.0,0.0,0
269,02,Career Profile,I Crunch Data,0.3411111111111111,0.0,
270,02,Career Profile,Indeed,0.9363888888888889,0.0,
271,02,Career Profile,LinkedIn,0.7444444444444444,0.0,
272,02,Career Profile,Love INC,0.0,0.0,0
273,02,Career Profile,Monster,0.6830555555555555,0.0,
274,02,Career Profile,Montana State University,0.0,0.0,0
275,02,Career Profile,SIAM,0.1425,0.0,
276,02,Career Profile,SOA,0.07611111111111112,0.0,
277,02,Career Profile,Tutor.com,0.0,0.0,0
278,02,Career Profile,Volunteer Match,0.0,0.0,0
279,02,Career Profile,Zip Recruiter,0.41000000000000003,0.0,
280,02,Church,,13.561944444444444,0.0,
281,02,Church,Coursera,0.0,0.0,0
282,02,Church,Credly,0.0,0.0,0
283,02,Church,Dice,0.0,0.0,0
284,02,Church,Exercism,0.0,0.0,0
285,02,Church,Functional Works,0.0,0.0,0
286,02,Church,GitHub,0.0,0.0,0
287,02,Church,Glassdoor,0.0,0.0,0
288,02,Church,Handshake,0.0,0.0,0
289,02,Church,I Crunch Data,0.0,0.0,0
290,02,Church,Indeed,0.0,0.0,0
291,02,Church,LinkedIn,0.0,0.0,0
292,02,Church,Love INC,0.0,0.0,0
293,02,Church,Monster,0.0,0.0,0
294,02,Church,Montana State University,0.0,0.0,0
295,02,Church,SIAM,0.0,0.0,0
296,02,Church,SOA,0.0,0.0,0
297,02,Church,Tutor.com,0.0,0.0,0
298,02,Church,Volunteer Match,0.0,0.0,0
