Project,Client,Description,Duration,Billable duration,Amount USD
Career Portfolio,,,03:13:56,00:00:00,0
Career Profile,,,00:56:34,00:00:00,0
Career Profile,Coursera,,00:08:41,00:00:00,0
Career Profile,Credly,,00:05:44,00:00:00,0
Career Profile,Dice,,00:08:10,00:00:00,0
Career Profile,Exercism,,00:07:46,00:00:00,0
Career Profile,Functional Works,,00:08:35,00:00:00,0
Career Profile,GitHub,,00:03:58,00:00:00,0
Career Profile,Glassdoor,,00:29:35,00:00:00,0
Career Profile,Indeed,,00:13:14,00:00:00,0
Career Profile,LinkedIn,,00:44:52,00:00:00,0
Career Profile,Monster,,00:16:22,00:00:00,0
Career Profile,SIAM,,00:05:04,00:00:00,0
Career Profile,Volunteer Match,,00:07:30,00:00:00,0
Career Profile,Zip Recruiter,,00:06:47,00:00:00,0
Church,,,20:17:28,00:00:00,0
Coursera,,,04:24:24,00:00:00,0
Exercise,,,18:09:00,00:00:00,0
Health,,,03:00:00,00:00:00,0
Job Apply,,,01:11:58,00:00:00,0
School Apply,,,00:17:07,00:00:00,0
School Apply,Montana State University,,12:28:22,00:00:00,0
Volunteer,Love INC,,04:35:00,00:00:00,0
Work,Montana State University,,33:25:26,00:00:00,0
Work,Tutor.com,,23:18:12,23:18:12,233.03
