Project,Client,Description,Duration,Billable duration
Career Portfolio,,,07:15:51,00:00:00
Career Profile,,,01:25:54,00:00:00
Career Profile,Coursera,,00:15:42,00:00:00
Career Profile,Credly,,00:08:36,00:00:00
Career Profile,Dice,,00:55:28,00:00:00
Career Profile,Exercism,,00:09:21,00:00:00
Career Profile,Functional Works,,00:24:51,00:00:00
Career Profile,GitHub,,00:16:54,00:00:00
Career Profile,Glassdoor,,00:57:03,00:00:00
Career Profile,I Crunch Data,,00:51:16,00:00:00
Career Profile,Indeed,,00:18:53,00:00:00
Career Profile,LinkedIn,,00:39:06,00:00:00
Career Profile,Monster,,00:21:15,00:00:00
Career Profile,SIAM,,00:08:52,00:00:00
Career Profile,Volunteer Match,,00:05:12,00:00:00
Career Profile,Zip Recruiter,,00:24:43,00:00:00
Church,,,13:43:46,00:00:00
Coursera,,,10:15:29,00:00:00
Exercise,,,34:11:20,00:00:00
Health,,,06:00:00,00:00:00
Job Apply,,,01:41:55,00:00:00
School Apply,,,05:26:11,00:00:00
School Apply,Montana State University,,18:41:30,00:00:00
Volunteer,,,08:00:06,00:00:00
