Project,Client,Task,Duration,Billable duration
Church,,Worship Service,5:39:37,0:00:00
Exercise,,Gym,9:48:26,0:00:00
Work,Montana State University,Database Systems,11:58:28,0:00:00
Work,Montana State University,Machine Learning: Soft Computing,68:15:12,0:00:00
Work,Montana State University,Methods of Data Analysis I,16:22:05,0:00:00
Work,Montana State University,Numerical Linear Algebra,17:04:52,0:00:00
Work,Montana State University,,0:42:10,0:00:00
