Project,Client,Task,Duration,Billable duration
Church,,Bible Study,03:33:55,00:00:00
Church,,Worship Service,09:34:24,00:00:00
Exercise,,Gym,15:54:35,00:00:00
Work,Montana State University,Database Systems,16:09:50,00:00:00
Work,Montana State University,Machine Learning: Soft Computing,98:12:10,00:00:00
Work,Montana State University,Meeting,01:00:00,00:00:00
Work,Montana State University,Methods of Data Analysis I,36:36:59,00:00:00
Work,Montana State University,Numerical Linear Algebra,25:02:51,00:00:00
