Project,Client,Task,Duration,Billable duration
Career Portfolio,,Career Profiles,01:05:45,00:00:00
Career Portfolio,,Jobs,00:50:30,00:00:00
Career Portfolio,,Open Source Projects,00:01:17,00:00:00
Career Portfolio,,Preferences,00:12:06,00:00:00
Career Portfolio,,Skills,00:15:53,00:00:00
Career Profile,Coursera,Email Notifications,00:02:40,00:00:00
Career Profile,Credly,Experience,00:04:23,00:00:00
Career Profile,Dice,Email Notifications,00:02:56,00:00:00
Career Profile,Exercism,General Information,00:03:08,00:00:00
Career Profile,Functional Works,Papers,00:01:19,00:00:00
Career Profile,GitHub,,00:03:26,00:00:00
Career Profile,Glassdoor,Experience,00:03:55,00:00:00
Career Profile,Handshake,,00:10:14,00:00:00
Career Profile,Indeed,Education,00:04:24,00:00:00
Career Profile,Monster,Preferences,00:03:43,00:00:00
Career Profile,Zip Recruiter,Education,00:02:18,00:00:00
Career Profile,Zip Recruiter,General Information,00:03:47,00:00:00
Church,,Bible Study,04:39:41,00:00:00
Church,,Worship Service,07:32:51,00:00:00
Exercise,,Gym,15:34:01,00:00:00
Work,Montana State University,Database Systems,16:01:01,00:00:00
Work,Montana State University,Machine Learning: Soft Computing,56:06:08,00:00:00
Work,Montana State University,Meeting,01:00:00,00:00:00
Work,Montana State University,Methods of Data Analysis I,28:34:15,00:00:00
Work,Montana State University,Numerical Linear Algebra,34:36:10,00:00:00
Work,Montana State University,,03:58:41,00:00:00
