Project,Client,Description,Duration,Billable duration,Amount USD
Career Portfolio,,,04:51:30,00:00:00,0
Career Profile,,,00:59:16,00:00:00,0
Career Profile,Coursera,,00:06:22,00:00:00,0
Career Profile,Credly,,00:02:41,00:00:00,0
Career Profile,Dice,,00:06:28,00:00:00,0
Career Profile,Exercism,,00:09:17,00:00:00,0
Career Profile,Functional Works,,00:05:40,00:00:00,0
Career Profile,GitHub,,00:03:27,00:00:00,0
Career Profile,Glassdoor,,00:07:05,00:00:00,0
Career Profile,I Crunch Data,,00:02:57,00:00:00,0
Career Profile,Indeed,,00:19:29,00:00:00,0
Career Profile,LinkedIn,,00:09:40,00:00:00,0
Career Profile,Monster,,00:10:36,00:00:00,0
Career Profile,SIAM,,00:06:53,00:00:00,0
Career Profile,Volunteer Match,,00:04:05,00:00:00,0
Career Profile,Zip Recruiter,,00:07:12,00:00:00,0
Church,,,20:54:09,00:00:00,0
Coursera,,,08:33:39,00:00:00,0
Exercise,,,26:08:38,00:00:00,0
Health,,,01:00:00,00:00:00,0
Job Apply,,,02:28:40,00:00:00,0
School Apply,,,06:22:58,00:00:00,0
Volunteer,Love INC,,08:54:51,00:00:00,0
Work,Tutor.com,,39:37:36,39:37:36,396.27
