Project,Client,Description,Duration,Billable duration,Amount USD
Career Portfolio,,,02:28:45,00:00:00,0
Career Profile,,,01:06:01,00:00:00,0
Career Profile,Coursera,,00:03:23,00:00:00,0
Career Profile,Credly,,00:04:02,00:00:00,0
Career Profile,Dice,,00:23:42,00:00:00,0
Career Profile,Exercism,,00:06:35,00:00:00,0
Career Profile,Functional Works,,00:03:54,00:00:00,0
Career Profile,GitHub,,00:11:16,00:00:00,0
Career Profile,Glassdoor,,00:05:40,00:00:00,0
Career Profile,Indeed,,00:20:25,00:00:00,0
Career Profile,LinkedIn,,00:10:17,00:00:00,0
Career Profile,Monster,,00:25:27,00:00:00,0
Career Profile,SIAM,,00:10:59,00:00:00,0
Career Profile,Volunteer Match,,00:01:45,00:00:00,0
Career Profile,Zip Recruiter,,00:08:30,00:00:00,0
Church,,,10:49:55,00:00:00,0
Exercise,,,11:04:22,00:00:00,0
Health,,,01:00:00,00:00:00,0
Job Apply,,,00:54:45,00:00:00,0
School Apply,,,00:18:23,00:00:00,0
Volunteer,Love INC,,00:44:19,00:00:00,0
Work,Montana State University,,44:09:00,00:00:00,0
Work,Tutor.com,,23:10:41,23:10:41,231.78
