Project,Client,Description,Duration,Billable duration
Career Profile,Coursera,,00:11:08,00:00:00
Career Profile,Credly,,00:04:23,00:00:00
Career Profile,Dice,,00:12:16,00:00:00
Career Profile,Exercism,,00:09:45,00:00:00
Career Profile,Functional Works,,00:07:53,00:00:00
Career Profile,GitHub,,00:16:55,00:00:00
Career Profile,Glassdoor,,00:41:31,00:00:00
Career Profile,Indeed,,01:06:01,00:00:00
Career Profile,LinkedIn,,00:08:15,00:00:00
Career Profile,Monster,,00:52:08,00:00:00
Career Profile,MTCIS,,00:15:47,00:00:00
Career Profile,SOA,,00:09:54,00:00:00
Career Profile,Volunteer Match,,00:19:11,00:00:00
Career Profile,Zip Recruiter,,00:44:08,00:00:00
Church,,,20:52:03,00:00:00
Coursera,,,05:12:55,00:00:00
Exercise,,,21:31:02,00:00:00
Health,,,04:00:00,00:00:00
Job Apply,,,00:51:26,00:00:00
School Apply,,,00:30:00,00:00:00
School Apply,Montana State University,,02:46:30,00:00:00
Volunteer,,,08:33:48,00:00:00
