Client,Project,Duration,Billable duration
Dice,Job Apply,00:11:57,00:00:00
Monster,Job Apply,00:27:56,00:00:00
Zip Recruiter,Job Apply,00:19:19,00:00:00
,Career Portfolio,00:40:03,00:00:00
,Career Profile,00:10:56,00:00:00
,Church,08:15:00,00:00:00
,Exercise,17:03:32,00:00:00
,Exercism,01:25:01,00:00:00
,Job Apply,00:37:59,00:00:00
