Project,Client,Title,Duration,Billable duration
Career Portfolio,,,02:01:18,00:00:00
Career Profile,Dice,,00:04:31,00:00:00
Career Profile,Functional Works,,00:12:12,00:00:00
Career Profile,I Crunch Data,,00:04:51,00:00:00
Career Profile,Indeed,,00:04:57,00:00:00
Career Profile,LinkedIn,,00:25:59,00:00:00
Career Profile,Monster,,00:09:22,00:00:00
Career Profile,MTCIS,,00:08:47,00:00:00
Career Profile,Resume-Library,,00:04:25,00:00:00
Career Profile,SOA,,00:07:23,00:00:00
Career Profile,Zip Recruiter,,00:35:15,00:00:00
Church,,,05:30:00,00:00:00
Coursera,,Created outline for project.,00:45:30,00:00:00
Coursera,,,09:58:56,00:00:00
Exercise,,,17:42:49,00:00:00
Health,,,01:00:01,00:00:00
Job Apply,,,02:01:44,00:00:00
Job Apply,Indeed,,03:16:14,00:00:00
Job Apply,LinkedIn,,01:11:36,00:00:00
School Apply,Montana State University,,04:38:49,00:00:00
