Project,Client,Title,Duration,Billable duration,Amount USD
CareerSearch,,,27:03:47,27:03:47,811.89
Church,,,07:36:48,00:00:00,0
Coursera,,,03:51:15,03:51:15,115.63
Exercise,,,16:50:42,00:00:00,0
Math 633,,,41:52:02,41:52:02,1256.02
Peak,,,22:08:49,22:08:49,287.91
ToastMasters,,,16:15:49,16:15:49,487.91
Work,,,04:22:17,00:00:00,0
