Client,Project,Duration,Billable duration
Functional Works,Career Profile,00:17:12,00:00:00
,Career Profile,02:12:54,00:00:00
,Church,08:10:00,00:00:00
,Exercise,09:38:58,00:00:00
,Job Apply,27:11:07,00:00:00
