Project,Client,Task,Duration,Billable duration
Career Portfolio,,Links,00:01:36,00:00:00
Career Portfolio,,Resume,03:06:38,00:00:00
Career Portfolio,,Schools and Fields,01:25:09,00:00:00
Career Profile,,,02:32:20,00:00:00
Church,,Bible Study,05:39:37,00:00:00
Church,,Worship Service,07:45:19,00:00:00
Exercise,,Gym,18:48:09,00:00:00
Exercism,,R,05:56:16,00:00:00
Job Apply,,Meeting,00:45:00,00:00:00
Volunteer,Love INC,Data Science Help,01:52:45,00:00:00
Work,Montana State University,Algorithms,17:33:02,00:00:00
Work,Montana State University,Experimental Design,11:50:20,00:00:00
Work,Montana State University,Meeting,00:30:00,00:00:00
Work,Montana State University,Methods of Data Analysis II,26:06:29,00:00:00
Work,Montana State University,,00:41:50,00:00:00
